frequency_Hz,magnitude_Vpeak,magnitude_dBFS,bin_type
0.000000,0.00038150,-72.7199,dc
15.637067,0.00032623,-74.0792,noise
31.274134,0.00042289,-71.8251,noise
46.911200,0.00102036,-64.1746,noise
62.548268,0.00114150,-63.2002,noise
78.185330,0.00040162,-72.2734,noise
93.822400,0.00094246,-64.8644,noise
109.459464,0.00055608,-69.4469,noise
125.096536,0.00087662,-65.4935,guard
140.733600,0.00153072,-60.6518,guard
156.370660,0.00039359,-72.4487,guard
172.007740,0.00207497,-58.0095,guard
187.644800,0.00173180,-59.5797,signal
203.281880,0.00120231,-62.7494,signal
218.918932,0.00145085,-61.1172,signal
234.556000,0.65403516,-8.0377,signal
250.193068,1.30986210,-2.0052,signal
265.830140,0.65574944,-8.0149,signal
281.467200,0.00146683,-61.0221,signal
297.104280,0.00099999,-64.3498,signal
312.741320,0.00115231,-63.1183,signal
328.378420,0.00224327,-57.3321,guard
344.015480,0.00124574,-62.4412,guard
359.652520,0.00103504,-64.0506,guard
375.289600,0.00008801,-85.4586,guard
390.926680,0.00102643,-64.1231,guard
406.563760,0.00078963,-66.4013,guard
422.200800,0.00046604,-70.9813,guard
437.837868,0.00115174,-63.1226,harmonic
453.474960,0.00052628,-69.9253,harmonic
469.112000,0.00086476,-65.6118,harmonic
484.749080,0.00113517,-63.2485,harmonic
500.386136,0.00114829,-63.1486,harmonic
516.023200,0.00096865,-64.6264,harmonic
531.660300,0.00075602,-66.7790,harmonic
547.297360,0.00051527,-70.1090,harmonic
562.934400,0.00024732,-76.4844,harmonic
578.571500,0.00081129,-66.1661,guard
594.208560,0.00148303,-60.9267,guard
609.845600,0.00149113,-60.8794,guard
625.482680,0.00093942,-64.8925,guard
641.119760,0.00044391,-71.4037,guard
656.756840,0.00039554,-72.4060,guard
672.393840,0.00023222,-77.0316,harmonic
688.030960,0.00052027,-70.0250,harmonic
703.668000,0.00061901,-68.5158,harmonic
719.305040,0.00051644,-70.0893,harmonic
734.942160,0.00128416,-62.1773,harmonic
750.579200,0.00128415,-62.1774,harmonic
766.216240,0.00058019,-69.0783,harmonic
781.853360,0.00022572,-77.2781,harmonic
797.490400,0.00097187,-64.5975,harmonic
813.127500,0.00139080,-61.4844,guard
828.764500,0.00115167,-63.1231,guard
844.401600,0.00098227,-64.5051,guard
860.038700,0.00089874,-65.2770,guard
875.675700,0.00062370,-68.4501,guard
891.312800,0.00033047,-73.9671,guard
906.949900,0.00062247,-68.4673,harmonic
922.586900,0.00110218,-63.5046,harmonic
938.224000,0.00111118,-63.4340,harmonic
953.861100,0.00125492,-62.3773,harmonic
969.498160,0.00067551,-67.7570,harmonic
985.135200,0.00014040,-81.4026,harmonic
1000.772300,0.00023734,-76.8422,harmonic
