sample,time_s,raw_u16,code12,voltage_V
0,0.000060000,55565,3472,2.797963
1,0.000511000,42442,2652,2.137157
2,0.001011000,22549,1409,1.135450
3,0.001511000,8690,543,0.437583
4,0.002010000,8914,557,0.448862
5,0.002510000,23077,1442,1.162037
6,0.003010000,43242,2702,2.177441
7,0.003510000,56893,3555,2.864834
8,0.004009000,56781,3548,2.859194
9,0.004509000,42554,2659,2.142797
10,0.005009000,22645,1415,1.140284
11,0.005509000,8690,543,0.437583
12,0.006009000,8946,559,0.450474
13,0.006508000,22949,1434,1.155592
14,0.007014000,43178,2698,2.174218
15,0.007514000,56989,3561,2.869668
16,0.008013000,56749,3546,2.857583
17,0.008513000,42378,2648,2.133934
18,0.009013000,22405,1400,1.128199
19,0.009512000,8674,542,0.436777
20,0.010012000,8978,561,0.452085
21,0.010512000,23269,1454,1.171705
22,0.011012000,43194,2699,2.175024
23,0.011512000,56925,3557,2.866445
24,0.012011000,56765,3547,2.858389
25,0.012511000,42538,2658,2.141991
26,0.013011000,22549,1409,1.135450
27,0.013510000,8850,553,0.445640
28,0.014011000,8898,556,0.448057
29,0.014510000,23093,1443,1.162843
30,0.015010000,42954,2684,2.162939
31,0.015509000,57005,3562,2.870474
32,0.016009000,56733,3545,2.856778
33,0.016508000,42618,2663,2.146020
34,0.017008000,22645,1415,1.140284
35,0.017508000,8738,546,0.440000
36,0.018014000,8802,550,0.443223
37,0.018513000,23237,1452,1.170094
38,0.019012000,43082,2692,2.169384
39,0.019512000,57021,3563,2.871280
40,0.020012000,56685,3542,2.854360
41,0.020512000,42474,2654,2.138769
42,0.021011000,22437,1402,1.129810
43,0.021511000,8642,540,0.435166
44,0.022011000,8866,554,0.446445
45,0.022510000,22869,1429,1.151563
46,0.023011000,43066,2691,2.168579
47,0.023511000,56973,3560,2.868862
48,0.024011000,56797,3549,2.860000
49,0.024510000,42474,2654,2.138769
50,0.025010000,22597,1412,1.137867
51,0.025509000,8754,547,0.440806
52,0.026009000,8866,554,0.446445
53,0.026509000,23029,1439,1.159620
54,0.027009000,43034,2689,2.166967
55,0.027509000,56669,3541,2.853554
56,0.028009000,56845,3552,2.862417
57,0.028509000,42650,2665,2.147631
58,0.029008000,22645,1415,1.140284
59,0.029508000,8722,545,0.439194
60,0.030014000,8930,558,0.449668
61,0.030508000,23173,1448,1.166871
62,0.031008000,42922,2682,2.161328
63,0.031514000,57021,3563,2.871280
64,0.032014000,56749,3546,2.857583
65,0.032508000,42586,2661,2.144408
66,0.033014000,22501,1406,1.133033
67,0.033513000,8626,539,0.434360
68,0.034013000,8962,560,0.451279
69,0.034513000,23173,1448,1.166871
70,0.035013000,43146,2696,2.172607
71,0.035513000,57005,3562,2.870474
72,0.036013000,56653,3540,2.852749
73,0.036513000,42458,2653,2.137963
74,0.037013000,22437,1402,1.129810
75,0.037513000,8578,536,0.431943
76,0.038013000,8962,560,0.451279
77,0.038512000,23253,1453,1.170900
78,0.039012000,43066,2691,2.168579
79,0.039512000,56941,3558,2.867251
80,0.040011000,56765,3547,2.858389
81,0.040511000,42570,2660,2.143603
82,0.041010000,22549,1409,1.135450
83,0.041510000,8722,545,0.439194
84,0.042010000,8930,558,0.449668
85,0.042509000,23029,1439,1.159620
86,0.043009000,42922,2682,2.161328
87,0.043508000,56877,3554,2.864028
88,0.044014000,56701,3543,2.855166
89,0.044514000,42442,2652,2.137157
90,0.045013000,22421,1401,1.129004
91,0.045513000,8642,540,0.435166
92,0.046012000,8962,560,0.451279
93,0.046512000,23333,1458,1.174928
94,0.047012000,43178,2698,2.174218
95,0.047511000,56957,3559,2.868056
96,0.048011000,56701,3543,2.855166
97,0.048511000,42474,2654,2.138769
98,0.049011000,22629,1414,1.139478
99,0.049512000,8674,542,0.436777
100,0.050011000,8946,559,0.450474
101,0.050510000,23077,1442,1.162037
102,0.051009000,43002,2687,2.165356
103,0.051510000,56973,3560,2.868862
104,0.052010000,56781,3548,2.859194
105,0.052509000,42570,2660,2.143603
106,0.053009000,22629,1414,1.139478
107,0.053509000,8674,542,0.436777
108,0.054008000,8914,557,0.448862
109,0.054508000,23029,1439,1.159620
110,0.055008000,42778,2673,2.154076
111,0.055514000,57069,3566,2.873696
112,0.056014000,56749,3546,2.857583
113,0.056513000,42394,2649,2.134740
114,0.057013000,22389,1399,1.127393
115,0.057513000,8498,531,0.427915
116,0.058013000,8898,556,0.448057
117,0.058512000,23125,1445,1.164454
118,0.059012000,43050,2690,2.167773
119,0.059512000,57053,3565,2.872891
120,0.060012000,56845,3552,2.862417
121,0.060511000,42490,2655,2.139574
122,0.061012000,22597,1412,1.137867
123,0.061512000,8594,537,0.432749
124,0.062011000,8962,560,0.451279
125,0.062511000,23333,1458,1.174928
126,0.063011000,42954,2684,2.162939
127,0.063511000,56925,3557,2.866445
