frequency_Hz,magnitude_Vpeak,magnitude_dBFS,bin_type
0.000000,0.00035735,-73.2878,dc
7.815748,0.00047156,-70.8790,noise
15.631497,0.00035345,-73.3831,noise
23.447246,0.00061520,-68.5694,noise
31.262994,0.00092238,-65.0515,noise
39.078744,0.00073272,-67.0509,noise
46.894492,0.00027976,-75.4138,noise
54.710240,0.00014622,-81.0496,noise
62.525990,0.00035432,-73.3618,noise
70.341736,0.00027772,-75.4775,noise
78.157484,0.00029452,-74.9675,noise
85.973240,0.00037440,-72.8830,noise
93.788990,0.00078643,-66.4365,noise
101.604740,0.00033000,-73.9794,noise
109.420480,0.00027297,-75.6275,noise
117.236230,0.00016659,-79.9169,noise
125.051980,0.00023855,-76.7980,noise
132.867720,0.00064699,-68.1318,noise
140.683470,0.00167858,-59.8508,noise
148.499220,0.00192417,-58.6648,noise
156.314970,0.00170818,-59.6990,noise
164.130720,0.00146224,-61.0493,noise
171.946468,0.00118676,-62.8624,noise
179.762220,0.00056246,-69.3479,noise
187.577980,0.00007899,-86.3984,guard
195.393720,0.00042703,-71.7406,guard
203.209480,0.00095870,-64.7160,guard
211.025200,0.00068193,-67.6749,guard
218.840960,0.00070097,-67.4357,signal
226.656708,0.00066421,-67.9035,signal
234.472460,0.00076652,-66.6592,signal
242.288208,0.65435376,-8.0334,signal
250.103960,1.30910190,-2.0102,signal
257.919700,0.65471650,-8.0286,signal
265.735440,0.00086913,-65.5680,signal
273.551200,0.00053114,-69.8454,signal
281.366940,0.00050840,-70.2255,signal
289.182700,0.00031639,-74.3452,guard
296.998440,0.00038495,-72.6416,guard
304.814200,0.00099359,-64.4055,guard
312.629940,0.00071352,-67.2816,guard
320.445700,0.00057598,-69.1415,noise
328.261440,0.00068263,-67.6659,noise
336.077168,0.00066195,-67.9332,noise
343.892936,0.00078191,-66.4865,noise
351.708680,0.00099075,-64.4304,noise
359.524440,0.00107177,-63.7477,noise
367.340184,0.00034657,-73.5540,noise
375.155960,0.00032409,-74.1363,noise
382.971680,0.00145001,-61.1223,noise
390.787440,0.00166260,-59.9339,noise
398.603168,0.00085959,-65.6638,noise
406.418960,0.00020272,-78.2119,noise
414.234680,0.00048453,-70.6433,noise
422.050400,0.00041642,-71.9591,noise
429.866168,0.00022137,-77.4472,noise
437.681920,0.00041955,-71.8940,guard
445.497680,0.00088599,-65.4011,guard
453.313416,0.00069699,-67.4851,guard
461.129184,0.00044509,-71.3807,guard
468.944920,0.00031310,-74.4359,harmonic
476.760680,0.00015286,-80.6637,harmonic
484.576416,0.00027431,-75.5847,harmonic
492.392184,0.00016766,-79.8609,harmonic
500.207920,0.00066998,-67.8285,harmonic
508.023640,0.00064778,-68.1211,harmonic
515.839400,0.00015162,-80.7346,harmonic
523.655160,0.00035091,-73.4459,harmonic
531.470900,0.00041656,-71.9561,harmonic
539.286700,0.00005044,-90.2943,guard
547.102400,0.00044850,-71.3145,guard
554.918160,0.00028316,-75.3092,guard
562.733900,0.00046192,-71.0584,guard
570.549700,0.00034843,-73.5074,noise
578.365400,0.00070325,-67.4075,noise
586.181160,0.00057821,-69.1079,noise
593.996900,0.00015076,-80.7840,noise
601.812600,0.00066597,-67.8806,noise
609.628400,0.00081387,-66.1386,noise
617.444160,0.00039022,-72.5234,noise
625.259900,0.00021113,-77.8589,noise
633.075600,0.00025589,-76.1888,noise
640.891400,0.00093048,-64.9755,noise
648.707160,0.00148860,-60.8941,noise
656.522900,0.00109698,-63.5457,noise
664.338600,0.00065507,-68.0239,noise
672.154336,0.00056367,-69.3292,noise
679.970160,0.00014048,-81.3971,noise
687.785900,0.00064617,-68.1428,noise
695.601600,0.00079576,-66.3341,guard
703.417360,0.00050143,-70.3455,guard
711.233136,0.00037775,-72.8055,guard
719.048900,0.00013536,-81.7198,guard
726.864600,0.00055108,-69.5255,harmonic
734.680368,0.00047899,-70.7432,harmonic
742.496160,0.00019502,-78.5481,harmonic
750.311900,0.00076045,-66.7283,harmonic
758.127600,0.00115854,-63.0714,harmonic
765.943320,0.00095083,-64.7877,harmonic
773.759100,0.00061524,-68.5688,harmonic
781.574900,0.00015446,-80.5734,harmonic
789.390600,0.00025326,-76.2782,harmonic
797.206336,0.00005404,-89.6958,guard
805.022100,0.00008904,-85.3575,guard
812.837900,0.00021566,-77.6741,guard
820.653600,0.00044827,-71.3189,guard
828.469360,0.00089085,-65.3536,noise
836.285100,0.00073106,-67.0706,noise
844.100800,0.00060549,-68.7075,noise
851.916600,0.00081094,-66.1699,noise
859.732336,0.00039437,-72.4317,noise
867.548100,0.00048547,-70.6265,noise
875.363840,0.00083590,-65.9066,noise
883.179600,0.00085159,-65.7451,noise
890.995320,0.00086860,-65.5732,noise
898.811100,0.00052649,-69.9219,noise
906.626832,0.00033148,-73.9405,noise
914.442600,0.00006576,-87.9901,noise
922.258368,0.00066539,-67.8882,guard
930.074100,0.00108802,-63.6169,guard
937.889840,0.00078582,-66.4433,guard
945.705536,0.00082504,-66.0201,guard
953.521360,0.00107159,-63.7491,harmonic
961.337100,0.00049307,-70.4914,harmonic
969.152832,0.00025590,-76.1884,harmonic
976.968560,0.00056700,-69.2780,harmonic
984.784368,0.00040669,-72.1643,harmonic
992.600100,0.00030071,-74.7866,harmonic
1000.415840,0.00007943,-86.3499,harmonic
