sample,time_s,raw_u16,code12,voltage_V
0,0.000061000,35192,2199,1.772085
1,0.000513000,18468,1154,0.929952
2,0.001012000,7361,460,0.370661
3,0.001512000,11074,692,0.557629
4,0.002011000,27446,1715,1.382037
5,0.002511000,47067,2941,2.370048
6,0.003011000,58302,3643,2.935784
7,0.003512000,54557,3409,2.747205
8,0.004011000,38105,2381,1.918769
9,0.004510000,18628,1164,0.938009
10,0.005009000,7329,458,0.369050
11,0.005509000,11106,694,0.559240
12,0.006009000,27462,1716,1.382843
13,0.006509000,46955,2934,2.364408
14,0.007008000,58270,3641,2.934173
15,0.007509000,54637,3414,2.751234
16,0.008008000,38185,2386,1.922797
17,0.008508000,18532,1158,0.933175
18,0.009014000,7329,458,0.369050
19,0.009513000,11138,696,0.560851
20,0.010012000,27558,1722,1.387677
21,0.010512000,47099,2943,2.371659
22,0.011012000,58222,3638,2.931755
23,0.011512000,54493,3405,2.743982
24,0.012012000,38073,2379,1.917157
25,0.012512000,18420,1151,0.927535
26,0.013011000,7377,461,0.371467
27,0.013511000,11042,690,0.556017
28,0.014011000,27462,1716,1.382843
29,0.014510000,46987,2936,2.366020
30,0.015010000,58238,3639,2.932561
31,0.015509000,54621,3413,2.750428
32,0.016009000,38153,2384,1.921186
33,0.016508000,18660,1166,0.939620
34,0.017008000,7393,462,0.372273
35,0.017514000,11106,694,0.559240
36,0.018014000,27606,1725,1.390094
37,0.018514000,47403,2962,2.386967
38,0.019013000,58350,3646,2.938201
39,0.019513000,54509,3406,2.744788
40,0.020013000,38041,2377,1.915546
41,0.020512000,18564,1160,0.934786
42,0.021012000,7361,460,0.370661
43,0.021512000,11090,693,0.558434
44,0.022012000,27574,1723,1.388482
45,0.022512000,47115,2944,2.372465
46,0.023012000,58270,3641,2.934173
47,0.023512000,54557,3409,2.747205
48,0.024011000,38105,2381,1.918769
49,0.024511000,18532,1158,0.933175
50,0.025010000,7377,461,0.371467
51,0.025510000,11074,692,0.557629
52,0.026010000,27446,1715,1.382037
53,0.026509000,47003,2937,2.366825
54,0.027008000,58238,3639,2.932561
55,0.027508000,54637,3414,2.751234
56,0.028009000,38201,2387,1.923603
57,0.028509000,18644,1165,0.938814
58,0.029010000,7425,464,0.373884
