frequency_Hz,magnitude_Vpeak,magnitude_dBFS,bin_type
0.000000,0.00022662,-77.2437,dc
3.907091,0.00013023,-82.0552,noise
7.814182,0.00080604,-66.2225,noise
11.721273,0.00050963,-70.2046,noise
15.628365,0.00044293,-71.4230,noise
19.535456,0.00054433,-69.6324,noise
23.442546,0.00014188,-81.3114,noise
27.349638,0.00044919,-71.3011,noise
31.256730,0.00054502,-69.6214,noise
35.163820,0.00051705,-70.0791,noise
39.070910,0.00039273,-72.4679,noise
42.978004,0.00020323,-78.1900,noise
46.885092,0.00055665,-69.4381,noise
50.792184,0.00053461,-69.7889,noise
54.699276,0.00034179,-73.6744,noise
58.606370,0.00059889,-68.8027,noise
62.513460,0.00022763,-77.2052,noise
66.420550,0.00066691,-67.8683,noise
70.327640,0.00083944,-65.8699,noise
74.234730,0.00072978,-67.0858,noise
78.141820,0.00046965,-70.9142,noise
82.048910,0.00069847,-67.4667,noise
85.956010,0.00023224,-77.0310,noise
89.863100,0.00050478,-70.2876,noise
93.770190,0.00038477,-72.6458,noise
97.677280,0.00092869,-64.9922,noise
101.584368,0.00074839,-66.8671,noise
105.491460,0.00055546,-69.4566,noise
109.398550,0.00045288,-71.2300,noise
113.305640,0.00045055,-71.2748,noise
117.212740,0.00035137,-73.4345,noise
121.119830,0.00041703,-71.9463,noise
125.026920,0.00077513,-66.5621,noise
128.934000,0.00054671,-69.5946,noise
132.841100,0.00038754,-72.5833,noise
136.748180,0.00018922,-78.8102,noise
140.655280,0.00026260,-75.9637,noise
144.562380,0.00035257,-73.4047,noise
148.469460,0.00080918,-66.1887,noise
152.376560,0.00136848,-61.6249,noise
156.283640,0.00124146,-62.4710,noise
160.190740,0.00049897,-70.3882,noise
164.097820,0.00145788,-61.0752,noise
168.004920,0.00106983,-63.7634,noise
171.912020,0.00055584,-69.4507,noise
175.819100,0.00017613,-79.4328,noise
179.726200,0.00134121,-61.7997,noise
183.633280,0.00097313,-64.5862,noise
187.540380,0.00036538,-73.0949,noise
191.447460,0.00058856,-68.9538,noise
195.354560,0.00031344,-74.4266,noise
199.261640,0.00080929,-66.1876,noise
203.168732,0.00107259,-63.7410,noise
207.075840,0.00074373,-66.9214,noise
210.982920,0.00037527,-72.8627,noise
214.890020,0.00035329,-73.3870,noise
218.797100,0.00086961,-65.5631,guard
222.704200,0.00081320,-66.1457,guard
226.611280,0.00070106,-67.4345,guard
230.518368,0.00089705,-65.2934,guard
234.425480,0.00074258,-66.9349,signal
238.332560,0.00047778,-70.7652,signal
242.239660,0.00094245,-64.8645,signal
246.146740,0.65567136,-8.0160,signal
250.053840,1.30909490,-2.0103,signal
253.960920,0.65379536,-8.0408,signal
257.868000,0.00037813,-72.7970,signal
261.775120,0.00069462,-67.5147,signal
265.682200,0.00069226,-67.5443,signal
269.589300,0.00064056,-68.2184,guard
273.496360,0.00072917,-67.0930,guard
277.403480,0.00023680,-76.8622,guard
281.310560,0.00124762,-62.4281,guard
285.217640,0.00122418,-62.5927,noise
289.124760,0.00047820,-70.7575,noise
293.031840,0.00025513,-76.2146,noise
296.938920,0.00084170,-65.8466,noise
300.846000,0.00084426,-65.8201,noise
304.753100,0.00053698,-69.7506,noise
308.660200,0.00069530,-67.5062,noise
312.567300,0.00069600,-67.4975,noise
316.474400,0.00040184,-72.2686,noise
320.381480,0.00109910,-63.5289,noise
324.288560,0.00071633,-67.2474,noise
328.195640,0.00046433,-71.0131,noise
332.102760,0.00075277,-66.8165,noise
336.009840,0.00077243,-66.5925,noise
339.916920,0.00065356,-68.0439,noise
343.824040,0.00043060,-71.6683,noise
347.731100,0.00065003,-68.0910,noise
351.638200,0.00045124,-71.2614,noise
355.545300,0.00029152,-75.0562,noise
359.452400,0.00086637,-65.5956,noise
363.359480,0.00141256,-61.3495,noise
367.266560,0.00114630,-63.1637,noise
371.173640,0.00082026,-66.0707,noise
375.080760,0.00058756,-68.9687,noise
378.987840,0.00037663,-72.8314,noise
382.894920,0.00048663,-70.6057,noise
386.802040,0.00032840,-74.0215,noise
390.709100,0.00047758,-70.7688,noise
394.616200,0.00093148,-64.9662,noise
398.523300,0.00064309,-68.1843,noise
402.430400,0.00032643,-74.0737,noise
406.337468,0.00030045,-74.7944,noise
410.244560,0.00010571,-83.8674,noise
414.151680,0.00000497,-110.4291,noise
418.058760,0.00036698,-73.0568,noise
421.965840,0.00073457,-67.0290,noise
425.872920,0.00065041,-68.0859,noise
429.780040,0.00019296,-78.6402,noise
433.687100,0.00071007,-67.3237,noise
437.594200,0.00093776,-64.9078,noise
441.501300,0.00082177,-66.0547,noise
445.408400,0.00094565,-64.8351,noise
449.315500,0.00044035,-71.4737,noise
453.222560,0.00018302,-79.0996,noise
457.129680,0.00011365,-83.2386,noise
461.036736,0.00025838,-76.1044,noise
464.943840,0.00004801,-90.7235,noise
468.850960,0.00043674,-71.5452,noise
472.758040,0.00028000,-75.4066,guard
476.665120,0.00037328,-72.9091,guard
480.572200,0.00012745,-82.2427,guard
484.479300,0.00055015,-69.5400,guard
488.386368,0.00049119,-70.5247,harmonic
492.293500,0.00012881,-82.1508,harmonic
496.200560,0.00036147,-73.1881,harmonic
500.107680,0.00062649,-68.4114,harmonic
504.014760,0.00095109,-64.7852,harmonic
507.921840,0.00088706,-65.3906,harmonic
511.828960,0.00048501,-70.6347,harmonic
515.736000,0.00078394,-66.4640,harmonic
519.643100,0.00103561,-64.0457,harmonic
523.550240,0.00048918,-70.5602,guard
527.457300,0.00055521,-69.4605,guard
531.364400,0.00046315,-71.0353,guard
535.271500,0.00049797,-70.4057,guard
539.178600,0.00052539,-69.9400,noise
543.085700,0.00023512,-76.9237,noise
546.992760,0.00061738,-68.5386,noise
550.899840,0.00039456,-72.4275,noise
554.806920,0.00031056,-74.5068,noise
558.714080,0.00031434,-74.4016,noise
562.621100,0.00080794,-66.2021,noise
566.528200,0.00081182,-66.1605,noise
570.435300,0.00074307,-66.9290,noise
574.342400,0.00024655,-76.5115,noise
578.249500,0.00009570,-84.7310,noise
582.156560,0.00040764,-72.1442,noise
586.063680,0.00072283,-67.1689,noise
589.970760,0.00042096,-71.8648,noise
593.877840,0.00082959,-65.9724,noise
597.785000,0.00138276,-61.5347,noise
601.692000,0.00092062,-65.0680,noise
605.599100,0.00019268,-78.6529,noise
609.506200,0.00047163,-70.8777,noise
613.413300,0.00052125,-70.0087,noise
617.320400,0.00039808,-72.3502,noise
621.227500,0.00029016,-75.0971,noise
625.134600,0.00021668,-77.6332,noise
629.041700,0.00034417,-73.6143,noise
632.948800,0.00012725,-82.2567,noise
636.855840,0.00058266,-69.0414,noise
640.762920,0.00051414,-70.1280,noise
644.670040,0.00078168,-66.4891,noise
648.577160,0.00104409,-63.9749,noise
652.484200,0.00068898,-67.5855,noise
656.391300,0.00020447,-78.1372,noise
660.298400,0.00069934,-67.4559,noise
664.205500,0.00041492,-71.9904,noise
668.112600,0.00062848,-68.3838,noise
672.019680,0.00076312,-66.6979,noise
675.926768,0.00038991,-72.5303,noise
679.833840,0.00075490,-66.7919,noise
683.740920,0.00108693,-63.6256,noise
687.648100,0.00068350,-67.6549,noise
691.555100,0.00007225,-87.1732,noise
695.462200,0.00049392,-70.4765,noise
699.369300,0.00090748,-65.1930,noise
703.276400,0.00052999,-69.8644,noise
707.183500,0.00057712,-69.1243,noise
711.090600,0.00091641,-65.1079,noise
714.997700,0.00049195,-70.5113,noise
718.904800,0.00095668,-64.7344,guard
722.811900,0.00041128,-72.0670,guard
726.718960,0.00030110,-74.7755,guard
730.626036,0.00005643,-89.3202,guard
734.533160,0.00038696,-72.5963,harmonic
738.440240,0.00019985,-78.3354,harmonic
742.347300,0.00045882,-71.1168,harmonic
746.254400,0.00023586,-76.8965,harmonic
750.161500,0.00114448,-63.1775,harmonic
754.068600,0.00072193,-67.1798,harmonic
757.975700,0.00047316,-70.8496,harmonic
761.882736,0.00019156,-78.7037,harmonic
765.789840,0.00056725,-69.2742,harmonic
769.696920,0.00092736,-65.0047,guard
773.604080,0.00076472,-66.6797,guard
777.511100,0.00027964,-75.4177,guard
781.418200,0.00035550,-73.3330,guard
785.325300,0.00008223,-86.0492,noise
789.232400,0.00038196,-72.7092,noise
793.139500,0.00042253,-71.8326,noise
797.046600,0.00040493,-72.2020,noise
800.953700,0.00013870,-81.5085,noise
804.860800,0.00030490,-74.6665,noise
808.767900,0.00014191,-81.3094,noise
812.674900,0.00087171,-65.5423,noise
816.582036,0.00109838,-63.5346,noise
820.489160,0.00072138,-67.1864,noise
824.396240,0.00028549,-75.2379,noise
828.303320,0.00030586,-74.6393,noise
832.210400,0.00010014,-84.3372,noise
836.117500,0.00034582,-73.5727,noise
840.024600,0.00054216,-69.6671,noise
843.931700,0.00069804,-67.4720,noise
847.838800,0.00036848,-73.0214,noise
851.745840,0.00006415,-88.2058,noise
855.652920,0.00064527,-68.1548,noise
859.560080,0.00086197,-65.6399,noise
863.467136,0.00066286,-67.9213,noise
867.374200,0.00088676,-65.3936,noise
871.281300,0.00087308,-65.5286,noise
875.188400,0.00053388,-69.8009,noise
879.095500,0.00038997,-72.5289,noise
883.002600,0.00050146,-70.3449,noise
886.909680,0.00024351,-76.6194,noise
890.816800,0.00048194,-70.6899,noise
894.723900,0.00072066,-67.1950,noise
898.631000,0.00059926,-68.7974,noise
902.538000,0.00064072,-68.2163,noise
906.445100,0.00021976,-77.5109,noise
910.352240,0.00042197,-71.8440,noise
914.259320,0.00078502,-66.4520,noise
918.166464,0.00054889,-69.5600,noise
922.073500,0.00037615,-72.8424,noise
925.980600,0.00054691,-69.5914,noise
929.887700,0.00032465,-74.1214,noise
933.794800,0.00027402,-75.5942,noise
937.701900,0.00044575,-71.3678,noise
941.608920,0.00049034,-70.5397,noise
945.516080,0.00037166,-72.9467,noise
949.423168,0.00037264,-72.9240,noise
953.330240,0.00052738,-69.9072,noise
957.237300,0.00072806,-67.1063,noise
961.144400,0.00053317,-69.8123,guard
965.051500,0.00088579,-65.4031,guard
968.958600,0.00085617,-65.6985,guard
972.865700,0.00056669,-69.2828,guard
976.772736,0.00025810,-76.1140,harmonic
980.679900,0.00043613,-71.5574,harmonic
984.587000,0.00027764,-75.4802,harmonic
988.494100,0.00060624,-68.6968,harmonic
992.401100,0.00078136,-66.4926,harmonic
996.308200,0.00058596,-68.9922,harmonic
1000.215320,0.00011544,-83.1029,harmonic
