sample,time_s,raw_u16,code12,voltage_V
0,0.000064000,46603,2912,2.346684
1,0.000511000,57630,3601,2.901945
2,0.001010000,56349,3521,2.837441
3,0.001510000,41514,2594,2.090428
4,0.002009000,21653,1353,1.090332
5,0.002509000,8498,531,0.427915
6,0.003008000,9298,581,0.468199
7,0.003509000,24021,1501,1.209572
8,0.004009000,43914,2744,2.211280
9,0.004508000,57229,3576,2.881753
10,0.005008000,56269,3516,2.833413
11,0.005514000,41418,2588,2.085594
12,0.006014000,21429,1339,1.079052
13,0.006513000,8242,515,0.415024
14,0.007013000,9618,601,0.484312
15,0.007513000,24261,1516,1.221657
16,0.008013000,44186,2761,2.224976
17,0.008513000,57181,3573,2.879336
18,0.009013000,56205,3512,2.830190
19,0.009513000,41402,2587,2.084788
20,0.010012000,21509,1344,1.083081
21,0.010512000,7713,482,0.388386
22,0.011012000,9474,592,0.477061
23,0.011512000,24101,1506,1.213600
24,0.012011000,44074,2754,2.219336
25,0.012511000,57358,3584,2.888249
26,0.013011000,56285,3517,2.834218
27,0.013511000,41498,2593,2.089622
28,0.014011000,21557,1347,1.085498
29,0.014510000,8322,520,0.419052
30,0.015010000,9346,584,0.470616
31,0.015510000,24053,1503,1.211183
32,0.016010000,44330,2770,2.232227
33,0.016510000,57390,3586,2.889860
34,0.017009000,56285,3517,2.834218
35,0.017509000,41466,2591,2.088011
36,0.018009000,21941,1371,1.104834
37,0.018509000,8370,523,0.421469
38,0.019008000,9202,575,0.463365
39,0.019514000,24277,1517,1.222463
40,0.020014000,44218,2763,2.226587
41,0.020514000,57374,3585,2.889054
42,0.021014000,56269,3516,2.833413
43,0.021514000,41402,2587,2.084788
44,0.022013000,21509,1344,1.083081
45,0.022513000,8274,517,0.416635
46,0.023012000,9410,588,0.473838
47,0.023512000,24405,1525,1.228908
48,0.024012000,44058,2753,2.218530
49,0.024512000,57245,3577,2.882559
50,0.025011000,56269,3516,2.833413
51,0.025511000,41546,2596,2.092039
52,0.026011000,21333,1333,1.074218
53,0.026512000,8370,523,0.421469
54,0.027011000,9426,589,0.474644
55,0.027511000,24213,1513,1.219240
56,0.028010000,44010,2750,2.216114
57,0.028511000,57374,3585,2.889054
58,0.029010000,56269,3516,2.833413
59,0.029510000,41450,2590,2.087206
60,0.030010000,21653,1353,1.090332
61,0.030510000,8370,523,0.421469
62,0.031009000,9250,578,0.465782
63,0.031509000,24085,1505,1.212795
64,0.032009000,43978,2748,2.214502
65,0.032509000,57358,3584,2.888249
66,0.033014000,56141,3508,2.826967
67,0.033514000,41450,2590,2.087206
68,0.034013000,21365,1335,1.075830
69,0.034513000,8226,514,0.414218
70,0.035013000,9394,587,0.473033
71,0.035513000,24277,1517,1.222463
72,0.036013000,44122,2757,2.221753
73,0.036513000,57325,3582,2.886587
74,0.037013000,56237,3514,2.831802
75,0.037512000,41418,2588,2.085594
76,0.038012000,21477,1342,1.081469
77,0.038512000,8226,514,0.414218
78,0.039011000,9378,586,0.472227
79,0.039511000,24149,1509,1.216017
80,0.040011000,44090,2755,2.220142
81,0.040512000,57245,3577,2.882559
82,0.041012000,56189,3511,2.829384
83,0.041511000,41466,2591,2.088011
84,0.042011000,21621,1351,1.088721
85,0.042510000,8306,519,0.418247
86,0.043011000,9410,588,0.473838
87,0.043511000,24101,1506,1.213600
88,0.044010000,43978,2748,2.214502
89,0.044510000,57261,3578,2.883365
90,0.045009000,56301,3518,2.835024
91,0.045509000,41546,2596,2.092039
92,0.046009000,21605,1350,1.087915
93,0.046509000,8306,519,0.418247
94,0.047009000,9330,583,0.469810
95,0.047514000,24245,1515,1.220851
96,0.048013000,44106,2756,2.220948
97,0.048513000,57406,3587,2.890666
98,0.049013000,56269,3516,2.833413
99,0.049513000,41386,2586,2.083983
100,0.050012000,21557,1347,1.085498
101,0.050513000,8370,523,0.421469
102,0.051012000,9538,596,0.480284
103,0.051512000,24133,1508,1.215212
104,0.052012000,44010,2750,2.216114
105,0.052511000,57277,3579,2.884170
106,0.053011000,56221,3513,2.830996
107,0.053511000,41578,2598,2.093650
108,0.054011000,21525,1345,1.083886
109,0.054511000,8322,520,0.419052
110,0.055011000,9394,587,0.473033
111,0.055511000,23957,1497,1.206349
112,0.056011000,44010,2750,2.216114
113,0.056511000,57293,3580,2.884976
114,0.057010000,56301,3518,2.835024
115,0.057510000,41562,2597,2.092845
116,0.058010000,21637,1352,1.089526
117,0.058510000,8306,519,0.418247
118,0.059010000,9330,583,0.469810
119,0.059509000,23957,1497,1.206349
120,0.060009000,43818,2738,2.206446
121,0.060509000,57309,3581,2.885782
122,0.061008000,56189,3511,2.829384
123,0.061509000,41642,2602,2.096874
124,0.062008000,21701,1356,1.092749
125,0.062514000,8194,512,0.412607
126,0.063013000,9330,583,0.469810
127,0.063513000,24165,1510,1.216823
128,0.064012000,44026,2751,2.216919
129,0.064512000,57293,3580,2.884976
130,0.065012000,56205,3512,2.830190
131,0.065512000,41546,2596,2.092039
132,0.066012000,21557,1347,1.085498
133,0.066512000,7985,499,0.402083
134,0.067012000,9458,591,0.476255
135,0.067512000,24165,1510,1.216823
136,0.068011000,43994,2749,2.215308
137,0.068511000,57293,3580,2.884976
138,0.069011000,56157,3509,2.827773
139,0.069511000,41482,2592,2.088817
140,0.070011000,21541,1346,1.084692
141,0.070510000,8322,520,0.419052
142,0.071010000,9346,584,0.470616
143,0.071509000,24069,1504,1.211989
144,0.072009000,43962,2747,2.213696
145,0.072509000,57309,3581,2.885782
146,0.073009000,56301,3518,2.835024
147,0.073509000,41562,2597,2.092845
148,0.074008000,21685,1355,1.091943
149,0.074508000,8386,524,0.422275
150,0.075008000,9346,584,0.470616
151,0.075514000,24357,1522,1.226491
152,0.076008000,43914,2744,2.211280
153,0.076514000,57502,3593,2.895500
154,0.077014000,56333,3520,2.836635
155,0.077513000,41322,2582,2.080760
156,0.078013000,21525,1345,1.083886
157,0.078512000,8210,513,0.413413
158,0.079012000,9362,585,0.471421
159,0.079512000,24085,1505,1.212795
160,0.080012000,44106,2756,2.220948
161,0.080512000,57261,3578,2.883365
162,0.081012000,56205,3512,2.830190
163,0.081511000,41466,2591,2.088011
164,0.082011000,21493,1343,1.082275
165,0.082510000,8274,517,0.416635
166,0.083010000,9154,572,0.460948
167,0.083510000,23845,1490,1.200709
168,0.084010000,44074,2754,2.219336
169,0.084510000,57261,3578,2.883365
170,0.085009000,55597,3474,2.799574
171,0.085509000,41562,2597,2.092845
172,0.086008000,21637,1352,1.089526
173,0.086508000,8402,525,0.423081
174,0.087014000,9730,608,0.489952
175,0.087514000,24229,1514,1.220046
176,0.088014000,44090,2755,2.220142
177,0.088513000,57309,3581,2.885782
178,0.089012000,56349,3521,2.837441
179,0.089513000,41370,2585,2.083177
180,0.090012000,21589,1349,1.087109
181,0.090512000,8306,519,0.418247
182,0.091011000,9394,587,0.473033
183,0.091511000,24037,1502,1.210378
184,0.092011000,44026,2751,2.216919
185,0.092511000,57293,3580,2.884976
186,0.093010000,56285,3517,2.834218
187,0.093511000,41514,2594,2.090428
188,0.094010000,21653,1353,1.090332
189,0.094510000,8161,510,0.410945
190,0.095010000,9314,582,0.469004
191,0.095510000,24053,1503,1.211183
192,0.096010000,43978,2748,2.214502
193,0.096509000,57261,3578,2.883365
194,0.097009000,56285,3517,2.834218
195,0.097509000,41578,2598,2.093650
196,0.098008000,21669,1354,1.091138
197,0.098508000,8306,519,0.418247
198,0.099008000,9298,581,0.468199
199,0.099514000,24197,1512,1.218434
200,0.100014000,44202,2762,2.225782
201,0.100514000,57422,3588,2.891472
202,0.101013000,56253,3515,2.832607
203,0.101514000,41386,2586,2.083983
204,0.102014000,21493,1343,1.082275
205,0.102514000,8354,522,0.420664
206,0.103014000,9314,582,0.469004
207,0.103513000,24149,1509,1.216017
208,0.104014000,44314,2769,2.231421
209,0.104513000,57325,3582,2.886587
210,0.105013000,56237,3514,2.831802
211,0.105513000,41450,2590,2.087206
212,0.106013000,21525,1345,1.083886
213,0.106513000,8161,510,0.410945
214,0.107012000,9346,584,0.470616
215,0.107512000,24309,1519,1.224074
216,0.108012000,43914,2744,2.211280
217,0.108512000,57422,3588,2.891472
218,0.109012000,56333,3520,2.836635
219,0.109512000,41482,2592,2.088817
220,0.110011000,21269,1329,1.070996
221,0.110511000,8306,519,0.418247
222,0.111011000,9362,585,0.471421
223,0.111511000,24101,1506,1.213600
224,0.112011000,43978,2748,2.214502
225,0.112510000,57309,3581,2.885782
226,0.113010000,56269,3516,2.833413
227,0.113510000,41594,2599,2.094456
228,0.114009000,21685,1355,1.091943
229,0.114509000,8290,518,0.417441
230,0.115009000,9266,579,0.466587
231,0.115508000,23989,1499,1.207961
232,0.116008000,43882,2742,2.209668
233,0.116509000,57293,3580,2.884976
234,0.117008000,56269,3516,2.833413
235,0.117508000,41690,2605,2.099290
236,0.118014000,21493,1343,1.082275
237,0.118514000,8338,521,0.419858
238,0.119013000,9378,586,0.472227
239,0.119513000,24245,1515,1.220851
240,0.120012000,44026,2751,2.216919
241,0.120512000,57325,3582,2.886587
242,0.121011000,56301,3518,2.835024
243,0.121511000,41466,2591,2.088011
244,0.122010000,21685,1355,1.091943
245,0.122510000,8370,523,0.421469
246,0.123009000,9298,581,0.468199
247,0.123509000,24053,1503,1.211183
248,0.124009000,43674,2729,2.199194
249,0.124508000,57374,3585,2.889054
250,0.125014000,56269,3516,2.833413
251,0.125514000,41386,2586,2.083983
252,0.126014000,21621,1351,1.088721
253,0.126513000,8322,520,0.419052
254,0.127013000,9490,593,0.477867
255,0.127512000,24165,1510,1.216823
256,0.128011000,43994,2749,2.215308
257,0.128511000,57325,3582,2.886587
258,0.129011000,56253,3515,2.832607
259,0.129511000,41642,2602,2.096874
260,0.130010000,21621,1351,1.088721
261,0.130509000,8402,525,0.423081
262,0.131009000,9330,583,0.469810
263,0.131509000,24021,1501,1.209572
264,0.132009000,43962,2747,2.213696
265,0.132509000,57261,3578,2.883365
266,0.133009000,56285,3517,2.834218
267,0.133508000,41594,2599,2.094456
268,0.134009000,21749,1359,1.095166
269,0.134509000,8161,510,0.410945
270,0.135008000,9314,582,0.469004
271,0.135514000,24245,1515,1.220851
272,0.136014000,44122,2757,2.221753
273,0.136513000,57390,3586,2.889860
274,0.137013000,56237,3514,2.831802
275,0.137513000,41386,2586,2.083983
276,0.138013000,21525,1345,1.083886
277,0.138513000,8482,530,0.427109
278,0.139012000,9378,586,0.472227
279,0.139512000,24181,1511,1.217629
280,0.140012000,43994,2749,2.215308
281,0.140511000,57261,3578,2.883365
282,0.141011000,56317,3519,2.835830
283,0.141510000,41690,2605,2.099290
284,0.142010000,21637,1352,1.089526
285,0.142510000,8354,522,0.420664
286,0.143009000,9298,581,0.468199
287,0.143509000,23861,1491,1.201515
288,0.144009000,43914,2744,2.211280
289,0.144508000,57309,3581,2.885782
290,0.145008000,56157,3509,2.827773
291,0.145508000,41690,2605,2.099290
292,0.146014000,21525,1345,1.083886
293,0.146514000,8338,521,0.419858
294,0.147013000,9362,585,0.471421
295,0.147513000,24357,1522,1.226491
296,0.148012000,44026,2751,2.216919
297,0.148512000,57261,3578,2.883365
298,0.149012000,56237,3514,2.831802
299,0.149512000,41546,2596,2.092039
300,0.150012000,21589,1349,1.087109
301,0.150511000,8210,513,0.413413
302,0.151012000,9298,581,0.468199
303,0.151511000,24085,1505,1.212795
304,0.152011000,43962,2747,2.213696
305,0.152511000,57422,3588,2.891472
306,0.153010000,56493,3530,2.844692
307,0.153510000,41546,2596,2.092039
308,0.154009000,21637,1352,1.089526
309,0.154509000,8402,525,0.423081
310,0.155009000,9282,580,0.467393
311,0.155509000,23925,1495,1.204738
312,0.156008000,43882,2742,2.209668
313,0.156508000,57165,3572,2.878530
314,0.157008000,56637,3539,2.851943
315,0.157509000,41754,2609,2.102513
316,0.158008000,21733,1358,1.094360
317,0.158509000,8274,517,0.416635
318,0.159009000,9426,589,0.474644
319,0.159509000,24053,1503,1.211183
320,0.160008000,44202,2762,2.225782
321,0.160514000,57390,3586,2.889860
322,0.161014000,56381,3523,2.839052
323,0.161513000,41418,2588,2.085594
324,0.162013000,21557,1347,1.085498
325,0.162512000,8258,516,0.415830
326,0.163012000,9362,585,0.471421
327,0.163511000,24021,1501,1.209572
328,0.164011000,44042,2752,2.217725
