frequency_Hz,magnitude_Vpeak,magnitude_dBFS,bin_type
0.000000,0.00000494,-110.4822,dc
1.953297,0.00007966,-86.3243,noise
3.906594,0.00016331,-80.0895,noise
5.859891,0.00010739,-83.7304,noise
7.813188,0.00060192,-68.7589,noise
9.766484,0.00089848,-65.2795,noise
11.719782,0.00077124,-66.6059,noise
13.673079,0.00023023,-77.1063,noise
15.626375,0.00016384,-80.0614,noise
17.579672,0.00007148,-87.2665,noise
19.532968,0.00017477,-79.5003,noise
21.486266,0.00037254,-72.9263,noise
23.439564,0.00090444,-65.2221,noise
25.392860,0.00082727,-65.9967,noise
27.346158,0.00022510,-77.3021,noise
29.299454,0.00006934,-87.5301,noise
31.252750,0.00038186,-72.7116,noise
33.206048,0.00037538,-72.8603,noise
35.159344,0.00028270,-75.3231,noise
37.112640,0.00036547,-73.0927,noise
39.065936,0.00059053,-68.9248,noise
41.019232,0.00056864,-69.2529,noise
42.972530,0.00032166,-74.2016,noise
44.925828,0.00070708,-67.3603,noise
46.879128,0.00060810,-68.6702,noise
48.832424,0.00071077,-67.3151,noise
50.785720,0.00043412,-71.5975,noise
52.739016,0.00010837,-83.6516,noise
54.692316,0.00012104,-82.6914,noise
56.645610,0.00015197,-80.7145,noise
58.598908,0.00032671,-74.0665,noise
60.552204,0.00056221,-69.3517,noise
62.505500,0.00030345,-74.7079,noise
64.458800,0.00027099,-75.6908,noise
66.412092,0.00014419,-81.1712,noise
68.365392,0.00069964,-67.4522,noise
70.318690,0.00081209,-66.1576,noise
72.271990,0.00076906,-66.6305,noise
74.225280,0.00062256,-68.4661,noise
76.178580,0.00047979,-70.7287,noise
78.131868,0.00042470,-71.7881,noise
80.085176,0.00044022,-71.4762,noise
82.038470,0.00033718,-73.7925,noise
83.991770,0.00008996,-85.2691,noise
85.945060,0.00003698,-92.9913,noise
87.898360,0.00029692,-74.8970,noise
89.851656,0.00040616,-72.1758,noise
91.804952,0.00072888,-67.0965,noise
93.758252,0.00088011,-65.4590,noise
95.711550,0.00063665,-68.2717,noise
97.664850,0.00054579,-69.6092,noise
99.618140,0.00076036,-66.7293,noise
101.571440,0.00087675,-65.4922,noise
103.524732,0.00065746,-67.9923,noise
105.478032,0.00033167,-73.9356,noise
107.431330,0.00041936,-71.8979,noise
109.384630,0.00056235,-69.3495,noise
111.337920,0.00046064,-71.0824,noise
113.291220,0.00055130,-69.5220,noise
115.244516,0.00047697,-70.7799,noise
117.197816,0.00022484,-77.3121,noise
119.151110,0.00030568,-74.6444,noise
121.104410,0.00028734,-75.1819,noise
