sample,time_s,raw_u16,code12,voltage_V
0,0.000057000,11682,730,0.588244
1,0.000510000,25990,1624,1.308720
2,0.001011000,45611,2850,2.296732
3,0.001511000,57886,3617,2.914836
4,0.002011000,55325,3457,2.785878
5,0.002511000,39689,2480,1.998530
6,0.003011000,19956,1247,1.004880
7,0.003510000,7585,474,0.381941
8,0.004010000,10210,638,0.514122
9,0.004509000,25862,1616,1.302275
10,0.005009000,45483,2842,2.290286
11,0.005509000,57902,3618,2.915642
12,0.006009000,55581,3473,2.798768
13,0.006508000,39737,2483,2.000948
14,0.007008000,19956,1247,1.004880
15,0.007514000,7681,480,0.386775
16,0.008014000,10354,647,0.521373
17,0.008513000,26086,1630,1.313555
18,0.009013000,45787,2861,2.305594
19,0.009513000,57790,3611,2.910002
20,0.010012000,55309,3456,2.785072
21,0.010512000,39609,2475,1.994502
22,0.011012000,19892,1243,1.001657
23,0.011511000,7745,484,0.389998
24,0.012011000,10210,638,0.514122
25,0.012511000,25958,1622,1.307109
26,0.013010000,45627,2851,2.297537
27,0.013510000,57838,3614,2.912419
28,0.014010000,55405,3462,2.789906
29,0.014509000,39817,2488,2.004976
30,0.015009000,19988,1249,1.006491
31,0.015509000,7761,485,0.390803
32,0.016009000,10210,638,0.514122
33,0.016508000,25654,1603,1.291801
34,0.017008000,45563,2847,2.294314
35,0.017508000,57838,3614,2.912419
36,0.018014000,55325,3457,2.785878
37,0.018513000,39433,2464,1.985640
38,0.019014000,19796,1237,0.996823
39,0.019514000,7681,480,0.386775
40,0.020014000,10242,640,0.515734
41,0.020514000,26038,1627,1.311138
42,0.021013000,45547,2846,2.293509
43,0.021513000,58030,3626,2.922088
44,0.022012000,55357,3459,2.787489
45,0.022512000,39657,2478,1.996919
46,0.023012000,19796,1237,0.996823
47,0.023512000,7857,491,0.395637
48,0.024011000,10210,638,0.514122
49,0.024511000,25942,1621,1.306304
50,0.025010000,45659,2853,2.299148
51,0.025510000,57886,3617,2.914836
52,0.026010000,55405,3462,2.789906
53,0.026509000,39769,2485,2.002559
54,0.027009000,19972,1248,1.005685
55,0.027508000,7825,489,0.394026
56,0.028008000,10130,633,0.510094
57,0.028508000,25782,1611,1.298247
58,0.029014000,45787,2861,2.305594
59,0.029514000,57918,3619,2.916448
60,0.030014000,55213,3450,2.780238
61,0.030514000,39481,2467,1.988057
62,0.031014000,19860,1241,1.000046
63,0.031513000,7713,482,0.388386
64,0.032013000,10210,638,0.514122
65,0.032513000,25942,1621,1.306304
66,0.033012000,45803,2862,2.306400
67,0.033512000,57838,3614,2.912419
68,0.034011000,55325,3457,2.785878
69,0.034511000,39689,2480,1.998530
70,0.035011000,19924,1245,1.003268
71,0.035510000,7729,483,0.389192
72,0.036009000,10162,635,0.511705
73,0.036509000,25894,1618,1.303886
74,0.037008000,45563,2847,2.294314
75,0.037514000,57838,3614,2.912419
76,0.038014000,55341,3458,2.786683
77,0.038514000,39609,2475,1.994502
78,0.039013000,19876,1242,1.000851
79,0.039513000,7681,480,0.386775
80,0.040013000,10210,638,0.514122
81,0.040513000,26294,1643,1.324028
82,0.041012000,45787,2861,2.305594
83,0.041512000,57934,3620,2.917253
84,0.042012000,55373,3460,2.788295
85,0.042512000,39369,2460,1.982417
86,0.043012000,19924,1245,1.003268
87,0.043511000,7729,483,0.389192
88,0.044010000,10194,637,0.513317
89,0.044510000,25894,1618,1.303886
90,0.045010000,45723,2857,2.302371
91,0.045510000,57886,3617,2.914836
92,0.046009000,55389,3461,2.789100
93,0.046509000,39577,2473,1.992891
94,0.047009000,19988,1249,1.006491
95,0.047509000,7793,487,0.392415
96,0.048008000,10146,634,0.510900
97,0.048508000,25894,1618,1.303886
98,0.049014000,45755,2859,2.303983
99,0.049513000,57934,3620,2.917253
100,0.050014000,55277,3454,2.783461
101,0.050513000,39561,2472,1.992085
102,0.051012000,19876,1242,1.000851
103,0.051512000,7713,482,0.388386
104,0.052012000,10242,640,0.515734
105,0.052512000,25974,1623,1.307915
106,0.053011000,45643,2852,2.298343
107,0.053512000,58094,3630,2.925310
108,0.054012000,55261,3453,2.782655
109,0.054511000,39625,2476,1.995308
110,0.055011000,19908,1244,1.002463
111,0.055510000,7793,487,0.392415
112,0.056010000,10146,634,0.510900
113,0.056510000,25734,1608,1.295830
114,0.057011000,45643,2852,2.298343
115,0.057510000,57694,3605,2.905168
116,0.058010000,55293,3455,2.784266
117,0.058510000,39673,2479,1.997725
118,0.059010000,20052,1253,1.009714
119,0.059509000,7841,490,0.394832
120,0.060009000,10178,636,0.512511
121,0.060509000,25862,1616,1.302275
122,0.061009000,45563,2847,2.294314
123,0.061508000,57918,3619,2.916448
124,0.062008000,55629,3476,2.801186
125,0.062514000,39513,2469,1.989668
126,0.063014000,19860,1241,1.000046
127,0.063513000,7665,479,0.385969
128,0.064013000,10178,636,0.512511
129,0.064513000,26038,1627,1.311138
130,0.065013000,45627,2851,2.297537
131,0.065513000,57934,3620,2.917253
132,0.066013000,55453,3465,2.792323
133,0.066513000,39497,2468,1.988862
134,0.067013000,19924,1245,1.003268
135,0.067512000,7745,484,0.389998
136,0.068012000,10274,642,0.517345
137,0.068512000,26054,1628,1.311943
138,0.069011000,45659,2853,2.299148
139,0.069511000,57838,3614,2.912419
140,0.070011000,55405,3462,2.789906
141,0.070511000,39689,2480,1.998530
142,0.071011000,19876,1242,1.000851
143,0.071511000,7745,484,0.389998
144,0.072010000,10146,634,0.510900
145,0.072510000,25862,1616,1.302275
146,0.073010000,45723,2857,2.302371
147,0.073510000,57886,3617,2.914836
148,0.074010000,55373,3460,2.788295
149,0.074509000,39689,2480,1.998530
150,0.075010000,20004,1250,1.007297
151,0.075509000,7825,489,0.394026
152,0.076009000,10146,634,0.510900
153,0.076508000,25862,1616,1.302275
154,0.077008000,45531,2845,2.292703
155,0.077514000,57790,3611,2.910002
156,0.078014000,55341,3458,2.786683
157,0.078514000,39593,2474,1.993697
158,0.079014000,19844,1240,0.999240
159,0.079514000,7697,481,0.387581
160,0.080013000,10274,642,0.517345
161,0.080513000,25942,1621,1.306304
